document_id,clean_text,sentiment
154,"Llevo desde finales de junio usando el teléfono y ha funcionado muy bien, me llegó el 82% de la batería solamente tres Rayones tenía cuando llegó uno de la cámara y dos en la pantalla fuera de eso funciona muy bien, la verdad es que recomiendo mucho comprar con este vendedor Muchas gracias por el producto.",neutral
155,"Dude y tarde un poco en decidir hacer la compra sin embargo al día de hoy estoy muy satisfecha con mi compra, la pila al 94 y sin detalles.",neutral
156,It did have some scratches and a ding or two but it’s expected for a refurbished device. The functionality is pretty consistent overall and as I stated it has a couple of scratches but from there it looks and performs good.,positive
157,"This review is based on the product quality and condition. So this phone came nice and neat. No scratches or visible ware and tear. Easy to program and unlock. The only detail i saw was that the battery life was below 83%, meaning that it wasn’t replaced for a fresher one. So I’m expecting it to be changed sooner. All its functions seem to work fine. Haven’t had issues with Apple (since Apple’s notorious fame of disabling features when phone don’t have genuine parts). I think this is a good vender to buy your phone when budget is tight.",positive
158,"Overall, I am happy with this purchase.  The battery reports 100%, and overall the phone is in good condition.  If you keep your phone in a case, you wouldn't notice the small gouge on the top right.  There is additional minor wear and tear around the metal housing (seems like the prior user didn't use a case).  If you prefer to go caseless, expect that you could receive a device with some minor but noticeable wear and tear.  However, the phone was not sold as ""flawless"" so some wear and tear is to be expected.  For my use case, the phone met my needs.  I threw it in a case and don't notice the flaws  The phone came with a glass screen protector which was a nice touch.  I haven't pulled off the screen protector  to see if the underlying screen has scratches.  if there is wear-and-tear on the screen (ex. small scratches from keys, etc.) they are minimal and not noticeable thought the screen protector.  Overall satisfied with this purchase for my use case.",positive
159,This was a nice gift for one of our kids. He really enjoys his new phone. It’s fast has great cameras in an 80% battery life still on it. This was a very reasonable price compared to buying a new one. The phone came in very nice shape as well. It should last us a long time!,positive
160,"Very happy with the iphone purchase. It was listed in excellent condition and it was. The iphone 13 was scratch free and arrived with 87% battery. For a used phone that's a few years old I think this is excellent. It came boxed, with a charging cord and wall adapter.  Very impressed with the phone, the condition and the packing. I would buy from this seller again.",positive
161,"Ordered the iPhone 13 in Midnight for T-Mobile. the phone came in near perfect condition with minor scratches on the camera area (doesn’t affect camera / picture quality at all). the phone came with a preinstalled glass screen protector. i was especially surprised and pleased by the 96% battery health!! definitely a gamble when it comes to buying refurbished / renewed phones but it ended up working out. the second hand seller i purchased through was Synergy, paid $377 (including tax). little more than half the price than a new phone is totally worth it. also did a fair amount of research and apparently the iphone 14 and 13 are the same exact product, so would recommend buying the 13 to save some money!",neutral
162,"The phone is great, there is a few scratches, none are actually visible except for one tiny one. The others are only visible if I flash a light onto my phone while it's turned off. The phone runs very smooth compared to my iPhone 7, and has an 87% on battery health. My only issue with this is the item was delayed multiple times. I was told it was to be delivered on Saturday but for whatever reason it wasn't and I was home all day. On that same day I called them, I am told it was to be picked up at my local CVS, so I went there, just for them to tell me, they don't have it until Monday. So I went back home, waited a few days, and on Monday morning I recieve a text telling me the package is ready for pick-up at CVS, so I went and it still wasn't there. They told me to come back in on the afternoon, and I did. After 3 different occasions of being told to come in, I explained my situation to the seller and they offered me just a small $10 for compensation... I finally got the product today on Tuesday when they told me to come in this morning. It should never be this difficult to communicate with a customer in my opinion, but it is what it is. Good product, terrible delivery.",positive
163,"This was my first time buying a refurbished phone, so I was nervous about what I might get, but a couple of days in, I have to say I'm pretty satisfied.First, shipping was very fast! I had the phone in my hands within 48 hours of placing the order, which surpassed all my expectations. It came with a charger (both the cable and block). The phone was dead when it arrived, so I needed to charge it first, but no big deal. The first thing I noticed was that there are some small chips and scratches around the edges of the device, most noticeable on the top, but with a case on, the damage will barely be visible. I've been using it without a case the last couple of days while waiting for the one I ordered to arrive, and even uncovered, it doesn't look that bad. Screen and cameras are in perfect condition. The phone was perfectly clean on arrival too, no dirt or dust.The max battery capacity is 85%. Since I paid for excellent quality, this was a bit disappointing to me and is the reason for me rating only 4 stars, especially after seeing other reviews of people who got batteries in the 90s, but it's still a major upgrade over what I had before (a 2020 SE with only 72% capacity). Overall, I've been happy with the performance so far, especially for the price. I would buy from MobileSupply again!",positive
164,"Very Unhappy. The level of battery does not match the high price of the second hand phone. You should inform this, but you didn’t.Without any kind of box.",positive
165,"Bueno lo compré el 09/03/2024 en un precio de 8400 aprox. Puedo decir que el celular sí que es original y cumple las expectativas. En estética para mí un 10, solo traía un raspón en la parte de abajo (no soy tan exigente porque pues siempre trae funda), en batería eh visto que les han llegado con entre 100% y 90%, tal vez fui de los salados porque me llegó con 83%, a la fecha (23/10/2024) tiene 82%, realmente no abajado mucho y si le eh dado buen uso. Lo único bueno fue que ya venía con mica de cristal, y el cargador básico que eran el cuadro y el cable (dudo que originales), pero se agradece. En fin, creo que a la fecha ya podría ser opción comprarlo nuevo (si no mal recuerdo lo vi en 12500). Para mi si que valió el riesgo, pero yo les recomendaría que si deciden arriesgarse vayan pero por su versión pro. Espero les sirva de algo.",neutral
166,"La verdad es la segunda vez que solicito iPhone reacondicionado y en esta ocasión por suerte me tocó recibir uno en excelente condición, la batería tiene una vida del 95% recomiendo este vendedor, la batería dura un día completo y lo cargo al 85% para conservar la vida útil del dispositivo, no tiene señales de que se haya utilizado tanto, es un buen equipo, siempre recomiendo comprar cargador originar para evitar problemas a futuro.",neutral
167,"Llevo desde finales de junio usando el teléfono y ha funcionado muy bien, me llegó el 82% de la batería solamente tres Rayones tenía cuando llegó uno de la cámara y dos en la pantalla fuera de eso funciona muy bien, la verdad es que recomiendo mucho comprar con este vendedor Muchas gracias por el producto.",neutral
168,"Dude y tarde un poco en decidir hacer la compra sin embargo al día de hoy estoy muy satisfecha con mi compra, la pila al 94 y sin detalles.",neutral
169,It did have some scratches and a ding or two but it’s expected for a refurbished device. The functionality is pretty consistent overall and as I stated it has a couple of scratches but from there it looks and performs good.,positive
170,"This review is based on the product quality and condition. So this phone came nice and neat. No scratches or visible ware and tear. Easy to program and unlock. The only detail i saw was that the battery life was below 83%, meaning that it wasn’t replaced for a fresher one. So I’m expecting it to be changed sooner. All its functions seem to work fine. Haven’t had issues with Apple (since Apple’s notorious fame of disabling features when phone don’t have genuine parts). I think this is a good vender to buy your phone when budget is tight.",positive
171,"Overall, I am happy with this purchase.  The battery reports 100%, and overall the phone is in good condition.  If you keep your phone in a case, you wouldn't notice the small gouge on the top right.  There is additional minor wear and tear around the metal housing (seems like the prior user didn't use a case).  If you prefer to go caseless, expect that you could receive a device with some minor but noticeable wear and tear.  However, the phone was not sold as ""flawless"" so some wear and tear is to be expected.  For my use case, the phone met my needs.  I threw it in a case and don't notice the flaws  The phone came with a glass screen protector which was a nice touch.  I haven't pulled off the screen protector  to see if the underlying screen has scratches.  if there is wear-and-tear on the screen (ex. small scratches from keys, etc.) they are minimal and not noticeable thought the screen protector.  Overall satisfied with this purchase for my use case.",positive
172,This was a nice gift for one of our kids. He really enjoys his new phone. It’s fast has great cameras in an 80% battery life still on it. This was a very reasonable price compared to buying a new one. The phone came in very nice shape as well. It should last us a long time!,positive
173,"Very happy with the iphone purchase. It was listed in excellent condition and it was. The iphone 13 was scratch free and arrived with 87% battery. For a used phone that's a few years old I think this is excellent. It came boxed, with a charging cord and wall adapter.  Very impressed with the phone, the condition and the packing. I would buy from this seller again.",positive
174,"Ordered the iPhone 13 in Midnight for T-Mobile. the phone came in near perfect condition with minor scratches on the camera area (doesn’t affect camera / picture quality at all). the phone came with a preinstalled glass screen protector. i was especially surprised and pleased by the 96% battery health!! definitely a gamble when it comes to buying refurbished / renewed phones but it ended up working out. the second hand seller i purchased through was Synergy, paid $377 (including tax). little more than half the price than a new phone is totally worth it. also did a fair amount of research and apparently the iphone 14 and 13 are the same exact product, so would recommend buying the 13 to save some money!",neutral
175,"The phone is great, there is a few scratches, none are actually visible except for one tiny one. The others are only visible if I flash a light onto my phone while it's turned off. The phone runs very smooth compared to my iPhone 7, and has an 87% on battery health. My only issue with this is the item was delayed multiple times. I was told it was to be delivered on Saturday but for whatever reason it wasn't and I was home all day. On that same day I called them, I am told it was to be picked up at my local CVS, so I went there, just for them to tell me, they don't have it until Monday. So I went back home, waited a few days, and on Monday morning I recieve a text telling me the package is ready for pick-up at CVS, so I went and it still wasn't there. They told me to come back in on the afternoon, and I did. After 3 different occasions of being told to come in, I explained my situation to the seller and they offered me just a small $10 for compensation... I finally got the product today on Tuesday when they told me to come in this morning. It should never be this difficult to communicate with a customer in my opinion, but it is what it is. Good product, terrible delivery.",positive
176,"This was my first time buying a refurbished phone, so I was nervous about what I might get, but a couple of days in, I have to say I'm pretty satisfied.First, shipping was very fast! I had the phone in my hands within 48 hours of placing the order, which surpassed all my expectations. It came with a charger (both the cable and block). The phone was dead when it arrived, so I needed to charge it first, but no big deal. The first thing I noticed was that there are some small chips and scratches around the edges of the device, most noticeable on the top, but with a case on, the damage will barely be visible. I've been using it without a case the last couple of days while waiting for the one I ordered to arrive, and even uncovered, it doesn't look that bad. Screen and cameras are in perfect condition. The phone was perfectly clean on arrival too, no dirt or dust.The max battery capacity is 85%. Since I paid for excellent quality, this was a bit disappointing to me and is the reason for me rating only 4 stars, especially after seeing other reviews of people who got batteries in the 90s, but it's still a major upgrade over what I had before (a 2020 SE with only 72% capacity). Overall, I've been happy with the performance so far, especially for the price. I would buy from MobileSupply again!",positive
177,"Very Unhappy. The level of battery does not match the high price of the second hand phone. You should inform this, but you didn’t.Without any kind of box.",positive
178,"Bueno lo compré el 09/03/2024 en un precio de 8400 aprox. Puedo decir que el celular sí que es original y cumple las expectativas. En estética para mí un 10, solo traía un raspón en la parte de abajo (no soy tan exigente porque pues siempre trae funda), en batería eh visto que les han llegado con entre 100% y 90%, tal vez fui de los salados porque me llegó con 83%, a la fecha (23/10/2024) tiene 82%, realmente no abajado mucho y si le eh dado buen uso. Lo único bueno fue que ya venía con mica de cristal, y el cargador básico que eran el cuadro y el cable (dudo que originales), pero se agradece. En fin, creo que a la fecha ya podría ser opción comprarlo nuevo (si no mal recuerdo lo vi en 12500). Para mi si que valió el riesgo, pero yo les recomendaría que si deciden arriesgarse vayan pero por su versión pro. Espero les sirva de algo.",neutral
179,"La verdad es la segunda vez que solicito iPhone reacondicionado y en esta ocasión por suerte me tocó recibir uno en excelente condición, la batería tiene una vida del 95% recomiendo este vendedor, la batería dura un día completo y lo cargo al 85% para conservar la vida útil del dispositivo, no tiene señales de que se haya utilizado tanto, es un buen equipo, siempre recomiendo comprar cargador originar para evitar problemas a futuro.",neutral
180,"Llevo desde finales de junio usando el teléfono y ha funcionado muy bien, me llegó el 82% de la batería solamente tres Rayones tenía cuando llegó uno de la cámara y dos en la pantalla fuera de eso funciona muy bien, la verdad es que recomiendo mucho comprar con este vendedor Muchas gracias por el producto.",neutral
181,"Dude y tarde un poco en decidir hacer la compra sin embargo al día de hoy estoy muy satisfecha con mi compra, la pila al 94 y sin detalles.",neutral
182,It did have some scratches and a ding or two but it’s expected for a refurbished device. The functionality is pretty consistent overall and as I stated it has a couple of scratches but from there it looks and performs good.,positive
183,"This review is based on the product quality and condition. So this phone came nice and neat. No scratches or visible ware and tear. Easy to program and unlock. The only detail i saw was that the battery life was below 83%, meaning that it wasn’t replaced for a fresher one. So I’m expecting it to be changed sooner. All its functions seem to work fine. Haven’t had issues with Apple (since Apple’s notorious fame of disabling features when phone don’t have genuine parts). I think this is a good vender to buy your phone when budget is tight.",positive
184,"Overall, I am happy with this purchase.  The battery reports 100%, and overall the phone is in good condition.  If you keep your phone in a case, you wouldn't notice the small gouge on the top right.  There is additional minor wear and tear around the metal housing (seems like the prior user didn't use a case).  If you prefer to go caseless, expect that you could receive a device with some minor but noticeable wear and tear.  However, the phone was not sold as ""flawless"" so some wear and tear is to be expected.  For my use case, the phone met my needs.  I threw it in a case and don't notice the flaws  The phone came with a glass screen protector which was a nice touch.  I haven't pulled off the screen protector  to see if the underlying screen has scratches.  if there is wear-and-tear on the screen (ex. small scratches from keys, etc.) they are minimal and not noticeable thought the screen protector.  Overall satisfied with this purchase for my use case.",positive
185,This was a nice gift for one of our kids. He really enjoys his new phone. It’s fast has great cameras in an 80% battery life still on it. This was a very reasonable price compared to buying a new one. The phone came in very nice shape as well. It should last us a long time!,positive
186,"Very happy with the iphone purchase. It was listed in excellent condition and it was. The iphone 13 was scratch free and arrived with 87% battery. For a used phone that's a few years old I think this is excellent. It came boxed, with a charging cord and wall adapter.  Very impressed with the phone, the condition and the packing. I would buy from this seller again.",positive
187,"Ordered the iPhone 13 in Midnight for T-Mobile. the phone came in near perfect condition with minor scratches on the camera area (doesn’t affect camera / picture quality at all). the phone came with a preinstalled glass screen protector. i was especially surprised and pleased by the 96% battery health!! definitely a gamble when it comes to buying refurbished / renewed phones but it ended up working out. the second hand seller i purchased through was Synergy, paid $377 (including tax). little more than half the price than a new phone is totally worth it. also did a fair amount of research and apparently the iphone 14 and 13 are the same exact product, so would recommend buying the 13 to save some money!",neutral
188,"The phone is great, there is a few scratches, none are actually visible except for one tiny one. The others are only visible if I flash a light onto my phone while it's turned off. The phone runs very smooth compared to my iPhone 7, and has an 87% on battery health. My only issue with this is the item was delayed multiple times. I was told it was to be delivered on Saturday but for whatever reason it wasn't and I was home all day. On that same day I called them, I am told it was to be picked up at my local CVS, so I went there, just for them to tell me, they don't have it until Monday. So I went back home, waited a few days, and on Monday morning I recieve a text telling me the package is ready for pick-up at CVS, so I went and it still wasn't there. They told me to come back in on the afternoon, and I did. After 3 different occasions of being told to come in, I explained my situation to the seller and they offered me just a small $10 for compensation... I finally got the product today on Tuesday when they told me to come in this morning. It should never be this difficult to communicate with a customer in my opinion, but it is what it is. Good product, terrible delivery.",positive
189,"This was my first time buying a refurbished phone, so I was nervous about what I might get, but a couple of days in, I have to say I'm pretty satisfied.First, shipping was very fast! I had the phone in my hands within 48 hours of placing the order, which surpassed all my expectations. It came with a charger (both the cable and block). The phone was dead when it arrived, so I needed to charge it first, but no big deal. The first thing I noticed was that there are some small chips and scratches around the edges of the device, most noticeable on the top, but with a case on, the damage will barely be visible. I've been using it without a case the last couple of days while waiting for the one I ordered to arrive, and even uncovered, it doesn't look that bad. Screen and cameras are in perfect condition. The phone was perfectly clean on arrival too, no dirt or dust.The max battery capacity is 85%. Since I paid for excellent quality, this was a bit disappointing to me and is the reason for me rating only 4 stars, especially after seeing other reviews of people who got batteries in the 90s, but it's still a major upgrade over what I had before (a 2020 SE with only 72% capacity). Overall, I've been happy with the performance so far, especially for the price. I would buy from MobileSupply again!",positive
190,"Very Unhappy. The level of battery does not match the high price of the second hand phone. You should inform this, but you didn’t.Without any kind of box.",positive
191,"Bueno lo compré el 09/03/2024 en un precio de 8400 aprox. Puedo decir que el celular sí que es original y cumple las expectativas. En estética para mí un 10, solo traía un raspón en la parte de abajo (no soy tan exigente porque pues siempre trae funda), en batería eh visto que les han llegado con entre 100% y 90%, tal vez fui de los salados porque me llegó con 83%, a la fecha (23/10/2024) tiene 82%, realmente no abajado mucho y si le eh dado buen uso. Lo único bueno fue que ya venía con mica de cristal, y el cargador básico que eran el cuadro y el cable (dudo que originales), pero se agradece. En fin, creo que a la fecha ya podría ser opción comprarlo nuevo (si no mal recuerdo lo vi en 12500). Para mi si que valió el riesgo, pero yo les recomendaría que si deciden arriesgarse vayan pero por su versión pro. Espero les sirva de algo.",neutral
192,"La verdad es la segunda vez que solicito iPhone reacondicionado y en esta ocasión por suerte me tocó recibir uno en excelente condición, la batería tiene una vida del 95% recomiendo este vendedor, la batería dura un día completo y lo cargo al 85% para conservar la vida útil del dispositivo, no tiene señales de que se haya utilizado tanto, es un buen equipo, siempre recomiendo comprar cargador originar para evitar problemas a futuro.",neutral
193,"Llevo desde finales de junio usando el teléfono y ha funcionado muy bien, me llegó el 82% de la batería solamente tres Rayones tenía cuando llegó uno de la cámara y dos en la pantalla fuera de eso funciona muy bien, la verdad es que recomiendo mucho comprar con este vendedor Muchas gracias por el producto.",neutral
194,"Dude y tarde un poco en decidir hacer la compra sin embargo al día de hoy estoy muy satisfecha con mi compra, la pila al 94 y sin detalles.",neutral
195,It did have some scratches and a ding or two but it’s expected for a refurbished device. The functionality is pretty consistent overall and as I stated it has a couple of scratches but from there it looks and performs good.,positive
196,"This review is based on the product quality and condition. So this phone came nice and neat. No scratches or visible ware and tear. Easy to program and unlock. The only detail i saw was that the battery life was below 83%, meaning that it wasn’t replaced for a fresher one. So I’m expecting it to be changed sooner. All its functions seem to work fine. Haven’t had issues with Apple (since Apple’s notorious fame of disabling features when phone don’t have genuine parts). I think this is a good vender to buy your phone when budget is tight.",positive
197,"Overall, I am happy with this purchase.  The battery reports 100%, and overall the phone is in good condition.  If you keep your phone in a case, you wouldn't notice the small gouge on the top right.  There is additional minor wear and tear around the metal housing (seems like the prior user didn't use a case).  If you prefer to go caseless, expect that you could receive a device with some minor but noticeable wear and tear.  However, the phone was not sold as ""flawless"" so some wear and tear is to be expected.  For my use case, the phone met my needs.  I threw it in a case and don't notice the flaws  The phone came with a glass screen protector which was a nice touch.  I haven't pulled off the screen protector  to see if the underlying screen has scratches.  if there is wear-and-tear on the screen (ex. small scratches from keys, etc.) they are minimal and not noticeable thought the screen protector.  Overall satisfied with this purchase for my use case.",positive
198,This was a nice gift for one of our kids. He really enjoys his new phone. It’s fast has great cameras in an 80% battery life still on it. This was a very reasonable price compared to buying a new one. The phone came in very nice shape as well. It should last us a long time!,positive
199,"Very happy with the iphone purchase. It was listed in excellent condition and it was. The iphone 13 was scratch free and arrived with 87% battery. For a used phone that's a few years old I think this is excellent. It came boxed, with a charging cord and wall adapter.  Very impressed with the phone, the condition and the packing. I would buy from this seller again.",positive
200,"Ordered the iPhone 13 in Midnight for T-Mobile. the phone came in near perfect condition with minor scratches on the camera area (doesn’t affect camera / picture quality at all). the phone came with a preinstalled glass screen protector. i was especially surprised and pleased by the 96% battery health!! definitely a gamble when it comes to buying refurbished / renewed phones but it ended up working out. the second hand seller i purchased through was Synergy, paid $377 (including tax). little more than half the price than a new phone is totally worth it. also did a fair amount of research and apparently the iphone 14 and 13 are the same exact product, so would recommend buying the 13 to save some money!",neutral
201,"The phone is great, there is a few scratches, none are actually visible except for one tiny one. The others are only visible if I flash a light onto my phone while it's turned off. The phone runs very smooth compared to my iPhone 7, and has an 87% on battery health. My only issue with this is the item was delayed multiple times. I was told it was to be delivered on Saturday but for whatever reason it wasn't and I was home all day. On that same day I called them, I am told it was to be picked up at my local CVS, so I went there, just for them to tell me, they don't have it until Monday. So I went back home, waited a few days, and on Monday morning I recieve a text telling me the package is ready for pick-up at CVS, so I went and it still wasn't there. They told me to come back in on the afternoon, and I did. After 3 different occasions of being told to come in, I explained my situation to the seller and they offered me just a small $10 for compensation... I finally got the product today on Tuesday when they told me to come in this morning. It should never be this difficult to communicate with a customer in my opinion, but it is what it is. Good product, terrible delivery.",positive
202,"This was my first time buying a refurbished phone, so I was nervous about what I might get, but a couple of days in, I have to say I'm pretty satisfied.First, shipping was very fast! I had the phone in my hands within 48 hours of placing the order, which surpassed all my expectations. It came with a charger (both the cable and block). The phone was dead when it arrived, so I needed to charge it first, but no big deal. The first thing I noticed was that there are some small chips and scratches around the edges of the device, most noticeable on the top, but with a case on, the damage will barely be visible. I've been using it without a case the last couple of days while waiting for the one I ordered to arrive, and even uncovered, it doesn't look that bad. Screen and cameras are in perfect condition. The phone was perfectly clean on arrival too, no dirt or dust.The max battery capacity is 85%. Since I paid for excellent quality, this was a bit disappointing to me and is the reason for me rating only 4 stars, especially after seeing other reviews of people who got batteries in the 90s, but it's still a major upgrade over what I had before (a 2020 SE with only 72% capacity). Overall, I've been happy with the performance so far, especially for the price. I would buy from MobileSupply again!",positive
203,"Very Unhappy. The level of battery does not match the high price of the second hand phone. You should inform this, but you didn’t.Without any kind of box.",positive
204,"Bueno lo compré el 09/03/2024 en un precio de 8400 aprox. Puedo decir que el celular sí que es original y cumple las expectativas. En estética para mí un 10, solo traía un raspón en la parte de abajo (no soy tan exigente porque pues siempre trae funda), en batería eh visto que les han llegado con entre 100% y 90%, tal vez fui de los salados porque me llegó con 83%, a la fecha (23/10/2024) tiene 82%, realmente no abajado mucho y si le eh dado buen uso. Lo único bueno fue que ya venía con mica de cristal, y el cargador básico que eran el cuadro y el cable (dudo que originales), pero se agradece. En fin, creo que a la fecha ya podría ser opción comprarlo nuevo (si no mal recuerdo lo vi en 12500). Para mi si que valió el riesgo, pero yo les recomendaría que si deciden arriesgarse vayan pero por su versión pro. Espero les sirva de algo.",neutral
205,"La verdad es la segunda vez que solicito iPhone reacondicionado y en esta ocasión por suerte me tocó recibir uno en excelente condición, la batería tiene una vida del 95% recomiendo este vendedor, la batería dura un día completo y lo cargo al 85% para conservar la vida útil del dispositivo, no tiene señales de que se haya utilizado tanto, es un buen equipo, siempre recomiendo comprar cargador originar para evitar problemas a futuro.",neutral
206,"Llevo desde finales de junio usando el teléfono y ha funcionado muy bien, me llegó el 82% de la batería solamente tres Rayones tenía cuando llegó uno de la cámara y dos en la pantalla fuera de eso funciona muy bien, la verdad es que recomiendo mucho comprar con este vendedor Muchas gracias por el producto.",neutral
207,"Dude y tarde un poco en decidir hacer la compra sin embargo al día de hoy estoy muy satisfecha con mi compra, la pila al 94 y sin detalles.",neutral
208,It did have some scratches and a ding or two but it’s expected for a refurbished device. The functionality is pretty consistent overall and as I stated it has a couple of scratches but from there it looks and performs good.,positive
209,"This review is based on the product quality and condition. So this phone came nice and neat. No scratches or visible ware and tear. Easy to program and unlock. The only detail i saw was that the battery life was below 83%, meaning that it wasn’t replaced for a fresher one. So I’m expecting it to be changed sooner. All its functions seem to work fine. Haven’t had issues with Apple (since Apple’s notorious fame of disabling features when phone don’t have genuine parts). I think this is a good vender to buy your phone when budget is tight.",positive
210,"Overall, I am happy with this purchase.  The battery reports 100%, and overall the phone is in good condition.  If you keep your phone in a case, you wouldn't notice the small gouge on the top right.  There is additional minor wear and tear around the metal housing (seems like the prior user didn't use a case).  If you prefer to go caseless, expect that you could receive a device with some minor but noticeable wear and tear.  However, the phone was not sold as ""flawless"" so some wear and tear is to be expected.  For my use case, the phone met my needs.  I threw it in a case and don't notice the flaws  The phone came with a glass screen protector which was a nice touch.  I haven't pulled off the screen protector  to see if the underlying screen has scratches.  if there is wear-and-tear on the screen (ex. small scratches from keys, etc.) they are minimal and not noticeable thought the screen protector.  Overall satisfied with this purchase for my use case.",positive
211,This was a nice gift for one of our kids. He really enjoys his new phone. It’s fast has great cameras in an 80% battery life still on it. This was a very reasonable price compared to buying a new one. The phone came in very nice shape as well. It should last us a long time!,positive
212,"Very happy with the iphone purchase. It was listed in excellent condition and it was. The iphone 13 was scratch free and arrived with 87% battery. For a used phone that's a few years old I think this is excellent. It came boxed, with a charging cord and wall adapter.  Very impressed with the phone, the condition and the packing. I would buy from this seller again.",positive
213,"Ordered the iPhone 13 in Midnight for T-Mobile. the phone came in near perfect condition with minor scratches on the camera area (doesn’t affect camera / picture quality at all). the phone came with a preinstalled glass screen protector. i was especially surprised and pleased by the 96% battery health!! definitely a gamble when it comes to buying refurbished / renewed phones but it ended up working out. the second hand seller i purchased through was Synergy, paid $377 (including tax). little more than half the price than a new phone is totally worth it. also did a fair amount of research and apparently the iphone 14 and 13 are the same exact product, so would recommend buying the 13 to save some money!",neutral
214,"The phone is great, there is a few scratches, none are actually visible except for one tiny one. The others are only visible if I flash a light onto my phone while it's turned off. The phone runs very smooth compared to my iPhone 7, and has an 87% on battery health. My only issue with this is the item was delayed multiple times. I was told it was to be delivered on Saturday but for whatever reason it wasn't and I was home all day. On that same day I called them, I am told it was to be picked up at my local CVS, so I went there, just for them to tell me, they don't have it until Monday. So I went back home, waited a few days, and on Monday morning I recieve a text telling me the package is ready for pick-up at CVS, so I went and it still wasn't there. They told me to come back in on the afternoon, and I did. After 3 different occasions of being told to come in, I explained my situation to the seller and they offered me just a small $10 for compensation... I finally got the product today on Tuesday when they told me to come in this morning. It should never be this difficult to communicate with a customer in my opinion, but it is what it is. Good product, terrible delivery.",positive
215,"This was my first time buying a refurbished phone, so I was nervous about what I might get, but a couple of days in, I have to say I'm pretty satisfied.First, shipping was very fast! I had the phone in my hands within 48 hours of placing the order, which surpassed all my expectations. It came with a charger (both the cable and block). The phone was dead when it arrived, so I needed to charge it first, but no big deal. The first thing I noticed was that there are some small chips and scratches around the edges of the device, most noticeable on the top, but with a case on, the damage will barely be visible. I've been using it without a case the last couple of days while waiting for the one I ordered to arrive, and even uncovered, it doesn't look that bad. Screen and cameras are in perfect condition. The phone was perfectly clean on arrival too, no dirt or dust.The max battery capacity is 85%. Since I paid for excellent quality, this was a bit disappointing to me and is the reason for me rating only 4 stars, especially after seeing other reviews of people who got batteries in the 90s, but it's still a major upgrade over what I had before (a 2020 SE with only 72% capacity). Overall, I've been happy with the performance so far, especially for the price. I would buy from MobileSupply again!",positive
216,"Very Unhappy. The level of battery does not match the high price of the second hand phone. You should inform this, but you didn’t.Without any kind of box.",positive
217,"Bueno lo compré el 09/03/2024 en un precio de 8400 aprox. Puedo decir que el celular sí que es original y cumple las expectativas. En estética para mí un 10, solo traía un raspón en la parte de abajo (no soy tan exigente porque pues siempre trae funda), en batería eh visto que les han llegado con entre 100% y 90%, tal vez fui de los salados porque me llegó con 83%, a la fecha (23/10/2024) tiene 82%, realmente no abajado mucho y si le eh dado buen uso. Lo único bueno fue que ya venía con mica de cristal, y el cargador básico que eran el cuadro y el cable (dudo que originales), pero se agradece. En fin, creo que a la fecha ya podría ser opción comprarlo nuevo (si no mal recuerdo lo vi en 12500). Para mi si que valió el riesgo, pero yo les recomendaría que si deciden arriesgarse vayan pero por su versión pro. Espero les sirva de algo.",neutral
218,"La verdad es la segunda vez que solicito iPhone reacondicionado y en esta ocasión por suerte me tocó recibir uno en excelente condición, la batería tiene una vida del 95% recomiendo este vendedor, la batería dura un día completo y lo cargo al 85% para conservar la vida útil del dispositivo, no tiene señales de que se haya utilizado tanto, es un buen equipo, siempre recomiendo comprar cargador originar para evitar problemas a futuro.",neutral
219,"Llevo desde finales de junio usando el teléfono y ha funcionado muy bien, me llegó el 82% de la batería solamente tres Rayones tenía cuando llegó uno de la cámara y dos en la pantalla fuera de eso funciona muy bien, la verdad es que recomiendo mucho comprar con este vendedor Muchas gracias por el producto.",neutral
220,"Dude y tarde un poco en decidir hacer la compra sin embargo al día de hoy estoy muy satisfecha con mi compra, la pila al 94 y sin detalles.",neutral
221,It did have some scratches and a ding or two but it’s expected for a refurbished device. The functionality is pretty consistent overall and as I stated it has a couple of scratches but from there it looks and performs good.,positive
222,"This review is based on the product quality and condition. So this phone came nice and neat. No scratches or visible ware and tear. Easy to program and unlock. The only detail i saw was that the battery life was below 83%, meaning that it wasn’t replaced for a fresher one. So I’m expecting it to be changed sooner. All its functions seem to work fine. Haven’t had issues with Apple (since Apple’s notorious fame of disabling features when phone don’t have genuine parts). I think this is a good vender to buy your phone when budget is tight.",positive
223,"Overall, I am happy with this purchase.  The battery reports 100%, and overall the phone is in good condition.  If you keep your phone in a case, you wouldn't notice the small gouge on the top right.  There is additional minor wear and tear around the metal housing (seems like the prior user didn't use a case).  If you prefer to go caseless, expect that you could receive a device with some minor but noticeable wear and tear.  However, the phone was not sold as ""flawless"" so some wear and tear is to be expected.  For my use case, the phone met my needs.  I threw it in a case and don't notice the flaws  The phone came with a glass screen protector which was a nice touch.  I haven't pulled off the screen protector  to see if the underlying screen has scratches.  if there is wear-and-tear on the screen (ex. small scratches from keys, etc.) they are minimal and not noticeable thought the screen protector.  Overall satisfied with this purchase for my use case.",positive
224,This was a nice gift for one of our kids. He really enjoys his new phone. It’s fast has great cameras in an 80% battery life still on it. This was a very reasonable price compared to buying a new one. The phone came in very nice shape as well. It should last us a long time!,positive
